country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
AFE,2014,968.246710325076,1538.24924991022
AFE,2015,988.132301435353,1540.85035410697
AFE,2016,984.097841323034,1533.28854984193
AFE,2017,983.204804188319,1531.6507509017
AFE,2018,982.758442969844,1529.0021193768
AFE,2019,980.193764012269,1519.87998570696
AFE,2020,930.489467480461,1437.30240752998
AFE,2021,956.937810479992,1460.9184336274
AFG,1960,NA,NA
AFG,1961,NA,NA
AFG,1962,NA,NA
AFG,1963,NA,NA
AFG,1964,NA,NA
AFG,1965,NA,NA
AFG,1966,NA,NA
AFG,1967,NA,NA
AFG,1968,NA,NA
AFG,1969,NA,NA
AFG,1970,NA,NA
AFG,1971,NA,NA
AFG,1972,NA,NA
AFG,1973,NA,NA
AFG,1974,NA,NA
AFG,1975,NA,NA
AFG,1976,NA,NA
AFG,1977,NA,NA
AFG,1978,NA,NA
AFG,1979,NA,NA
AFG,1980,NA,NA
AFG,1981,NA,NA
AFG,1982,NA,NA
AFG,1983,NA,NA
AFG,1984,NA,NA
AFG,1985,NA,NA
AFG,1986,NA,NA
AFG,1987,NA,NA
AFG,1988,NA,NA
AFG,1989,NA,NA
AFG,1990,NA,NA
AFG,1991,NA,NA
AFG,1992,NA,NA
AFG,1993,NA,NA
AFG,1994,NA,NA
AFG,1995,NA,NA
AFG,1996,NA,NA
AFG,1997,NA,NA
AFG,1998,NA,NA
AFG,1999,NA,NA
AFG,2000,NA,NA
AFG,2001,NA,NA
AFG,2002,NA,359.766342668484
AFG,2003,NA,363.101481459528
AFG,2004,NA,354.033912870345
AFG,2005,NA,379.955829325586
AFG,2006,NA,384.078305241572
AFG,2007,NA,429.412537341828
AFG,2008,NA,437.420026808226
AFG,2009,NA,512.409279249256
AFG,2010,NA,569.282712026308
AFG,2011,NA,551.000970270826
AFG,2012,NA,596.4428151196
AFG,2013,NA,608.386714575999
AFG,2014,NA,602.516979299112
AFG,2015,NA,592.476537451681
AFG,2016,NA,590.427738791141
AFG,2017,NA,588.930450759474
AFG,2018,NA,578.985909020837
AFG,2019,NA,584.386882896106
AFG,2020,NA,553.036478884366
AFG,2021,NA,426.030015291798
AFW,1960,NA,1086.56746016207
AFW,1961,NA,1083.5803093789
AFW,1962,NA,1100.84167682061
AFW,1963,NA,1155.69650680111
AFW,1964,NA,1191.66775172691
AFW,1965,NA,1212.81070988494
AFW,1966,NA,1164.42651172986
AFW,1967,NA,1029.26580511493
AFW,1968,NA,1020.7132799513
AFW,1969,NA,1152.68476496747
AFW,1970,NA,1328.28745732179
AFW,1971,NA,1437.73954587545
AFW,1972,NA,1447.7393652279
AFW,1973,NA,1471.91050031072
AFW,1974,NA,1581.81176017358
